rate,n_services,n_vnf_req,n_vnf,n_vcpu,alpha,beta,bin_conf
3.0,100,195,104,487,0.5333333333333333,4.682692307692308,3
3.5,115,253,161,761,0.6363636363636364,4.726708074534161,3
4.0,115,233,108,500,0.46351931330472107,4.62962962962963,3
4.5,101,198,117,552,0.5909090909090909,4.717948717948718,3
5.0,153,316,177,845,0.560126582278481,4.7740112994350286,1
5.5,152,312,159,748,0.5096153846153846,4.704402515723269,3
6.0,182,379,223,1070,0.5883905013192612,4.798206278026906,1
0.5,13,25,13,40,0.52,3.0769230769230766,2
1.0,23,52,17,55,0.3269230769230769,3.2352941176470584,2
1.5,42,93,38,164,0.4086021505376344,4.3157894736842115,2
2.0,65,116,54,238,0.4655172413793103,4.407407407407407,2
2.5,73,133,66,296,0.4962406015037594,4.4848484848484835,3
3.0,83,174,81,367,0.4655172413793103,4.530864197530863,3
3.5,103,193,88,404,0.4559585492227979,4.590909090909091,3
4.0,129,288,165,781,0.5729166666666666,4.733333333333333,3
4.5,123,239,87,394,0.3640167364016737,4.528735632183908,3
5.0,128,256,105,478,0.41015625,4.552380952380952,3
5.5,173,347,225,1073,0.6484149855907781,4.768888888888889,3
6.0,163,339,201,965,0.5929203539823009,4.800995024875622,1
0.5,23,47,17,54,0.3617021276595745,3.1764705882352944,2
1.0,26,53,26,102,0.490566037735849,3.9230769230769234,2
1.5,40,83,42,181,0.5060240963855421,4.309523809523808,2
2.0,59,124,56,251,0.4516129032258064,4.482142857142857,2
2.5,61,134,69,315,0.5149253731343284,4.565217391304348,2
3.0,84,185,106,493,0.572972972972973,4.650943396226415,3
3.5,123,229,107,492,0.4672489082969432,4.598130841121495,3
4.0,124,237,124,577,0.5232067510548524,4.653225806451613,3
4.5,148,288,134,640,0.4652777777777778,4.776119402985074,3
5.0,139,286,186,891,0.6503496503496503,4.790322580645161,3
5.5,172,357,205,970,0.5742296918767507,4.7317073170731705,3
6.0,167,362,236,1131,0.6519337016574586,4.7923728813559325,3
0.5,16,35,15,50,0.42857142857142855,3.333333333333333,2
1.0,28,57,19,66,0.3333333333333333,3.4736842105263164,2
1.5,56,110,42,183,0.3818181818181817,4.357142857142857,2
2.0,45,108,45,201,0.4166666666666667,4.466666666666667,2
2.5,70,139,61,269,0.4388489208633093,4.409836065573772,3
3.0,97,196,80,366,0.4081632653061225,4.575,1
3.5,104,220,120,566,0.5454545454545454,4.716666666666667,1
4.0,122,244,109,503,0.4467213114754098,4.614678899082568,3
4.5,132,279,145,680,0.5197132616487455,4.689655172413794,3
5.0,147,302,184,879,0.6092715231788081,4.777173913043479,3
5.5,187,385,243,1165,0.6311688311688312,4.794238683127572,3
6.0,181,367,203,966,0.553133514986376,4.758620689655173,3
0.5,11,22,10,27,0.4545454545454545,2.7,2
1.0,36,77,45,199,0.5844155844155844,4.422222222222223,2
1.5,57,124,54,240,0.4354838709677419,4.4444444444444455,2
2.0,58,113,59,266,0.5221238938053098,4.508474576271187,2
2.5,81,155,76,344,0.4903225806451613,4.526315789473684,3
3.0,88,178,88,405,0.4943820224719101,4.602272727272728,3
3.5,102,217,86,395,0.3963133640552995,4.593023255813954,3
4.0,123,260,136,640,0.5230769230769231,4.705882352941177,3
4.5,111,200,121,570,0.605,4.7107438016528915,3
5.0,143,296,122,563,0.41216216216216217,4.614754098360656,3
5.5,174,355,224,1076,0.6309859154929578,4.803571428571429,3
6.0,194,387,215,1031,0.5555555555555556,4.795348837209303,3
0.5,13,29,15,47,0.5172413793103449,3.1333333333333333,2
1.0,30,66,29,120,0.4393939393939394,4.137931034482759,0
1.5,40,77,38,161,0.4935064935064935,4.2368421052631575,2
2.0,55,108,52,230,0.4814814814814815,4.4230769230769225,2
2.5,84,155,86,396,0.5548387096774193,4.604651162790699,3
3.0,91,181,113,530,0.6243093922651933,4.690265486725664,3
